"年月日","曜","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
2021-09-28,"火","資源","資源","他プラ","他プラ","不燃","不燃",,,"リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2021-09-29,"水","リプラ","リプラ",,"リプラ",,,"リプラ","リプラ",,,,"リプラ","リプラ",,"リプラ","リプラ",
2021-09-30,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","リプラ",,,"リプラ",,,
2021-10-01,"金",,"不燃","リプラ",,"リプラ","リプラ","他プラ","資源","資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2021-10-02,"土",,,,,,,,,,,,,,,,,
2021-10-03,"日",,,,,,,,,,,,,,,,,
2021-10-04,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ","資源","資源","資源",,,"不燃","リプラ"
2021-10-05,"火","他プラ","他プラ","資源","資源",,,"不燃","不燃","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2021-10-06,"水","リプラ","リプラ","不燃","リプラ","資源","他プラ","リプラ","リプラ","不燃",,,"リプラ","リプラ","他プラ","リプラ","リプラ","不燃"
2021-10-07,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","リプラ",,"不燃","リプラ","他プラ","資源","他プラ"
2021-10-08,"金","不燃",,"リプラ","不燃","リプラ","リプラ","資源","他プラ","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2021-10-09,"土",,,,,,,,,,,,,,,,,
2021-10-10,"日",,,,,,,,,,,,,,,,,
2021-10-11,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","他プラ","他プラ","他プラ","不燃","不燃",,"リプラ"
2021-10-12,"火","資源","資源","他プラ","他プラ","不燃","不燃",,,"リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2021-10-13,"水","リプラ","リプラ",,"リプラ","他プラ","資源","リプラ","リプラ",,"不燃","不燃","リプラ","リプラ","資源","リプラ","リプラ",
2021-10-14,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","リプラ","不燃",,"リプラ","資源","他プラ","資源"
2021-10-15,"金",,"不燃","リプラ",,"リプラ","リプラ","他プラ","資源","資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2021-10-16,"土",,,,,,,,,,,,,,,,,
2021-10-17,"日",,,,,,,,,,,,,,,,,
2021-10-18,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ","資源","資源","資源",,,"不燃","リプラ"
2021-10-19,"火","他プラ","他プラ","資源","資源",,,"不燃","不燃","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2021-10-20,"水","リプラ","リプラ","不燃","リプラ","資源","他プラ","リプラ","リプラ","不燃",,,"リプラ","リプラ","他プラ","リプラ","リプラ","不燃"
2021-10-21,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","リプラ",,"不燃","リプラ","他プラ","資源","他プラ"
2021-10-22,"金","不燃",,"リプラ","不燃","リプラ","リプラ","資源","他プラ","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2021-10-23,"土",,,,,,,,,,,,,,,,,
2021-10-24,"日",,,,,,,,,,,,,,,,,
2021-10-25,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","他プラ","他プラ","他プラ","不燃","不燃",,"リプラ"
2021-10-26,"火","資源","資源","他プラ","他プラ","不燃","不燃",,,"リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2021-10-27,"水","リプラ","リプラ",,"リプラ","他プラ","資源","リプラ","リプラ",,"不燃","不燃","リプラ","リプラ","資源","リプラ","リプラ",
2021-10-28,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","リプラ","不燃",,"リプラ","資源","他プラ","資源"
2021-10-29,"金",,,"リプラ",,"リプラ","リプラ",,,,"可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2021-10-30,"土",,,,,,,,,,,,,,,,,
2021-10-31,"日",,,,,,,,,,,,,,,,,
2021-11-01,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ","資源","資源","資源",,,"不燃","リプラ"
2021-11-02,"火","他プラ","他プラ","資源","資源",,,"不燃","不燃","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2021-11-03,"水",,,"不燃",,"資源","他プラ",,,"不燃",,,,,"他プラ",,,"不燃"
2021-11-04,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","リプラ",,"不燃","リプラ","他プラ","資源","他プラ"
2021-11-05,"金",,"不燃","リプラ",,"リプラ","リプラ","他プラ","資源","資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2021-11-06,"土",,,,,,,,,,,,,,,,,
2021-11-07,"日",,,,,,,,,,,,,,,,,
2021-11-08,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","他プラ","他プラ","他プラ","不燃","不燃",,"リプラ"
2021-11-09,"火","資源","資源","他プラ","他プラ","不燃","不燃",,,"リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2021-11-10,"水","リプラ","リプラ",,"リプラ","他プラ","資源","リプラ","リプラ",,"不燃","不燃","リプラ","リプラ","資源","リプラ","リプラ",
2021-11-11,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","リプラ","不燃",,"リプラ","資源","他プラ","資源"
2021-11-12,"金","不燃",,"リプラ","不燃","リプラ","リプラ","資源","他プラ","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2021-11-13,"土",,,,,,,,,,,,,,,,,
2021-11-14,"日",,,,,,,,,,,,,,,,,
2021-11-15,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ","資源","資源","資源",,,"不燃","リプラ"
2021-11-16,"火","他プラ","他プラ","資源","資源",,,"不燃","不燃","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2021-11-17,"水","リプラ","リプラ","不燃","リプラ","資源","他プラ","リプラ","リプラ","不燃",,,"リプラ","リプラ","他プラ","リプラ","リプラ","不燃"
2021-11-18,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","リプラ",,"不燃","リプラ","他プラ","資源","他プラ"
2021-11-19,"金",,"不燃","リプラ",,"リプラ","リプラ","他プラ","資源","資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2021-11-20,"土",,,,,,,,,,,,,,,,,
2021-11-21,"日",,,,,,,,,,,,,,,,,
2021-11-22,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","他プラ","他プラ","他プラ","不燃","不燃",,"リプラ"
2021-11-23,"火","資源","資源","他プラ","他プラ","不燃","不燃",,,,,,,,,,,
2021-11-24,"水","リプラ","リプラ",,"リプラ","他プラ","資源","リプラ","リプラ",,"不燃","不燃","リプラ","リプラ","資源","リプラ","リプラ",
2021-11-25,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","リプラ","不燃",,"リプラ","資源","他プラ","資源"
2021-11-26,"金","不燃",,"リプラ","不燃","リプラ","リプラ","資源","他プラ","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2021-11-27,"土",,,,,,,,,,,,,,,,,
2021-11-28,"日",,,,,,,,,,,,,,,,,
2021-11-29,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,,,,,,,"リプラ"
2021-11-30,"火",,,,,,,,,"リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2021-12-01,"水","リプラ","リプラ","不燃","リプラ","資源","他プラ","リプラ","リプラ","不燃",,,"リプラ","リプラ","他プラ","リプラ","リプラ","不燃"
2021-12-02,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","リプラ",,"不燃","リプラ","他プラ","資源","他プラ"
2021-12-03,"金",,"不燃","リプラ",,"リプラ","リプラ","他プラ","資源","資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2021-12-04,"土",,,,,,,,,,,,,,,,,
2021-12-05,"日",,,,,,,,,,,,,,,,,
2021-12-06,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ","資源","資源","資源",,,"不燃","リプラ"
2021-12-07,"火","他プラ","他プラ","資源","資源",,,"不燃","不燃","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2021-12-08,"水","リプラ","リプラ",,"リプラ","他プラ","資源","リプラ","リプラ",,"不燃","不燃","リプラ","リプラ","資源","リプラ","リプラ",
2021-12-09,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","リプラ","不燃",,"リプラ","資源","他プラ","資源"
2021-12-10,"金","不燃",,"リプラ","不燃","リプラ","リプラ","資源","他プラ","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2021-12-11,"土",,,,,,,,,,,,,,,,,
2021-12-12,"日",,,,,,,,,,,,,,,,,
2021-12-13,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","他プラ","他プラ","他プラ","不燃","不燃",,"リプラ"
2021-12-14,"火","資源","資源","他プラ","他プラ","不燃","不燃",,,"リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2021-12-15,"水","リプラ","リプラ","不燃","リプラ","資源","他プラ","リプラ","リプラ","不燃",,,"リプラ","リプラ","他プラ","リプラ","リプラ","不燃"
2021-12-16,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","リプラ",,"不燃","リプラ","他プラ","資源","他プラ"
2021-12-17,"金",,"不燃","リプラ",,"リプラ","リプラ","他プラ","資源","資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2021-12-18,"土",,,,,,,,,,,,,,,,,
2021-12-19,"日",,,,,,,,,,,,,,,,,
2021-12-20,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ","資源","資源","資源",,,"不燃","リプラ"
2021-12-21,"火","他プラ","他プラ","資源","資源",,,"不燃","不燃","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2021-12-22,"水","リプラ","リプラ",,"リプラ","他プラ","資源","リプラ","リプラ",,"不燃","不燃","リプラ","リプラ","資源","リプラ","リプラ",
2021-12-23,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","リプラ","不燃",,"リプラ","資源","他プラ","資源"
2021-12-24,"金","不燃",,"リプラ","不燃","リプラ","リプラ","資源","他プラ","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2021-12-25,"土",,,,,,,,,,,,,,,,,
2021-12-26,"日",,,,,,,,,,,,,,,,,
2021-12-27,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","他プラ","他プラ","他プラ","不燃","不燃",,"リプラ"
2021-12-28,"火","資源","資源","他プラ","他プラ","不燃","不燃",,,"リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2021-12-29,"水","リプラ","リプラ",,"リプラ",,,"リプラ","リプラ",,,,"リプラ","リプラ",,"リプラ","リプラ",
2021-12-30,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","リプラ",,,"リプラ",,,
2021-12-31,"金",,,,,,,,,,,,,,,,,
2022-01-01,"土",,,,,,,,,,,,,,,,,
2022-01-02,"日",,,,,,,,,,,,,,,,,
2022-01-03,"月",,,,,,,,,,,,,,,,,
2022-01-04,"火","他プラ","他プラ","資源","資源",,,"不燃","不燃","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2022-01-05,"水","リプラ","リプラ","不燃","リプラ","資源","他プラ","リプラ","リプラ","不燃","他プラ","他プラ","リプラ","リプラ","他プラ","リプラ","リプラ","不燃"
2022-01-06,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","リプラ","他プラ","不燃","リプラ","他プラ","資源","他プラ"
2022-01-07,"金",,"不燃","リプラ",,"リプラ","リプラ","他プラ","資源","資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2022-01-08,"土",,,,,,,,,,,,,,,,,
2022-01-09,"日",,,,,,,,,,,,,,,,,
2022-01-10,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","資源","資源","資源","不燃","不燃","不燃","リプラ"
2022-01-11,"火","資源","資源","他プラ","他プラ","不燃","不燃",,,"リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2022-01-12,"水","リプラ","リプラ",,"リプラ","他プラ","資源","リプラ","リプラ",,"不燃","不燃","リプラ","リプラ","資源","リプラ","リプラ",
2022-01-13,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","リプラ","不燃","他プラ","リプラ","資源","他プラ","資源"
2022-01-14,"金","不燃",,"リプラ","不燃","リプラ","リプラ","資源","他プラ","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2022-01-15,"土",,,,,,,,,,,,,,,,,
2022-01-16,"日",,,,,,,,,,,,,,,,,
2022-01-17,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ","資源","資源","資源",,,"不燃","リプラ"
2022-01-18,"火","他プラ","他プラ","資源","資源",,,"不燃","不燃","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2022-01-19,"水","リプラ","リプラ","不燃","リプラ","資源","他プラ","リプラ","リプラ","不燃",,,"リプラ","リプラ","他プラ","リプラ","リプラ","不燃"
2022-01-20,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","リプラ",,"不燃","リプラ","他プラ","資源","他プラ"
2022-01-21,"金",,"不燃","リプラ",,"リプラ","リプラ","他プラ","資源","資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2022-01-22,"土",,,,,,,,,,,,,,,,,
2022-01-23,"日",,,,,,,,,,,,,,,,,
2022-01-24,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","他プラ","他プラ","他プラ","不燃","不燃",,"リプラ"
2022-01-25,"火","資源","資源","他プラ","他プラ","不燃","不燃",,,"リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2022-01-26,"水","リプラ","リプラ",,"リプラ","他プラ","資源","リプラ","リプラ",,"不燃","不燃","リプラ","リプラ","資源","リプラ","リプラ",
2022-01-27,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","リプラ","不燃",,"リプラ","資源","他プラ","資源"
2022-01-28,"金","不燃",,"リプラ","不燃","リプラ","リプラ","資源","他プラ","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2022-01-29,"土",,,,,,,,,,,,,,,,,
2022-01-30,"日",,,,,,,,,,,,,,,,,
2022-01-31,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃",,,,,,,,"リプラ"
2022-02-01,"火","他プラ","他プラ","資源","資源",,,"不燃","不燃","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2022-02-02,"水","リプラ","リプラ","不燃","リプラ","資源","他プラ","リプラ","リプラ","不燃",,,"リプラ","リプラ","他プラ","リプラ","リプラ","不燃"
2022-02-03,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","リプラ",,"不燃","リプラ","他プラ","資源","他プラ"
2022-02-04,"金",,"不燃","リプラ",,"リプラ","リプラ","他プラ","資源","資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2022-02-05,"土",,,,,,,,,,,,,,,,,
2022-02-06,"日",,,,,,,,,,,,,,,,,
2022-02-07,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ","資源","資源","資源",,,"不燃","リプラ"
2022-02-08,"火","資源","資源","他プラ","他プラ","不燃","不燃",,,"リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2022-02-09,"水","リプラ","リプラ",,"リプラ","他プラ","資源","リプラ","リプラ",,"不燃","不燃","リプラ","リプラ","資源","リプラ","リプラ",
2022-02-10,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","リプラ","不燃",,"リプラ","資源","他プラ","資源"
2022-02-11,"金","不燃",,,"不燃",,,"資源","他プラ","他プラ",,,,,,,,
2022-02-12,"土",,,,,,,,,,,,,,,,,
2022-02-13,"日",,,,,,,,,,,,,,,,,
2022-02-14,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","他プラ","他プラ","他プラ","不燃","不燃",,"リプラ"
2022-02-15,"火","他プラ","他プラ","資源","資源",,,"不燃","不燃","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2022-02-16,"水","リプラ","リプラ","不燃","リプラ","資源","他プラ","リプラ","リプラ","不燃",,,"リプラ","リプラ","他プラ","リプラ","リプラ","不燃"
2022-02-17,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","リプラ",,"不燃","リプラ","他プラ","資源","他プラ"
2022-02-18,"金",,"不燃","リプラ",,"リプラ","リプラ","他プラ","資源","資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2022-02-19,"土",,,,,,,,,,,,,,,,,
2022-02-20,"日",,,,,,,,,,,,,,,,,
2022-02-21,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ","資源","資源","資源",,,"不燃","リプラ"
2022-02-22,"火","資源","資源","他プラ","他プラ","不燃","不燃",,,"リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2022-02-23,"水",,,,,"他プラ","資源",,,,"不燃","不燃",,,"資源",,,
2022-02-24,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","リプラ","不燃",,"リプラ","資源","他プラ","資源"
2022-02-25,"金","不燃",,"リプラ","不燃","リプラ","リプラ","資源","他プラ","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2022-02-26,"土",,,,,,,,,,,,,,,,,
2022-02-27,"日",,,,,,,,,,,,,,,,,
2022-02-28,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","他プラ","他プラ","他プラ","不燃","不燃",,"リプラ"
2022-03-01,"火","他プラ","他プラ","資源","資源",,,"不燃","不燃","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2022-03-02,"水","リプラ","リプラ","不燃","リプラ","資源","他プラ","リプラ","リプラ","不燃",,,"リプラ","リプラ","他プラ","リプラ","リプラ","不燃"
2022-03-03,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","リプラ",,"不燃","リプラ","他プラ","資源","他プラ"
2022-03-04,"金",,"不燃","リプラ",,"リプラ","リプラ","他プラ","資源","資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2022-03-05,"土",,,,,,,,,,,,,,,,,
2022-03-06,"日",,,,,,,,,,,,,,,,,
2022-03-07,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","他プラ","資源","資源","資源",,,"不燃","リプラ"
2022-03-08,"火","資源","資源","他プラ","他プラ","不燃","不燃",,,"リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2022-03-09,"水","リプラ","リプラ",,"リプラ","他プラ","資源","リプラ","リプラ",,"不燃","不燃","リプラ","リプラ","資源","リプラ","リプラ",
2022-03-10,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","リプラ","不燃",,"リプラ","資源","他プラ","資源"
2022-03-11,"金","不燃",,"リプラ","不燃","リプラ","リプラ","資源","他プラ","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2022-03-12,"土",,,,,,,,,,,,,,,,,
2022-03-13,"日",,,,,,,,,,,,,,,,,
2022-03-14,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","他プラ","他プラ","他プラ","不燃","不燃",,"リプラ"
2022-03-15,"火","他プラ","他プラ","資源","資源",,,"不燃","不燃","リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2022-03-16,"水","リプラ","リプラ","不燃","リプラ","資源","他プラ","リプラ","リプラ","不燃",,,"リプラ","リプラ","他プラ","リプラ","リプラ","不燃"
2022-03-17,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","リプラ",,"不燃","リプラ","他プラ","資源","他プラ"
2022-03-18,"金",,"不燃","リプラ",,"リプラ","リプラ","他プラ","資源","資源","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2022-03-19,"土",,,,,,,,,,,,,,,,,
2022-03-20,"日",,,,,,,,,,,,,,,,,
2022-03-21,"月",,,,,,,,,,"他プラ","資源","資源","資源",,,"不燃",
2022-03-22,"火","資源","資源","他プラ","他プラ","不燃","不燃",,,"リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2022-03-23,"水","リプラ","リプラ",,"リプラ","他プラ","資源","リプラ","リプラ",,"不燃","不燃","リプラ","リプラ","資源","リプラ","リプラ",
2022-03-24,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","リプラ","不燃",,"リプラ","資源","他プラ","資源"
2022-03-25,"金","不燃",,"リプラ","不燃","リプラ","リプラ","資源","他プラ","他プラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2022-03-26,"土",,,,,,,,,,,,,,,,,
2022-03-27,"日",,,,,,,,,,,,,,,,,
2022-03-28,"月","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","資源","他プラ","他プラ","他プラ","不燃","不燃",,"リプラ"
2022-03-29,"火",,,,,,,,,"リプラ","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃"
2022-03-30,"水","リプラ","リプラ",,"リプラ",,,"リプラ","リプラ",,,,"リプラ","リプラ",,"リプラ","リプラ",
2022-03-31,"木","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","可燃","リプラ","リプラ",,,"リプラ",,,
